French,English
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
laisser,let
car,because
aucun,no
eux,them
ville,city
arrivé,come
longtemps,long time
vont,will
pendant,while
aucune,any
place,square
parle,speak
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
endroit,place
écoute,listen
dont,whose
côté,side
pouvoir,power
vieux,old
sois,be
tellement,so much
point,point
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
belle,beautiful
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
croire,believe
jouer,to play
